,Linear Regression,K-Nearest Neighbors,XGBoost
MSE,100838842967.83119,94190037162.69,75951984113.56319
R^2,0.47487397146699595,0.5094981389423684,0.6044742025701262
MAE,236817.26913424314,215858.92154724817,198438.60735494547
EVS,0.4749072860128921,0.5095615899629456,0.6044819399591688
