name,lon,lat
aleja Armii Krajowej,17.04942045,51.083112549999996
Bardzka,17.049488640531372,51.083190086095414
Biskupa Bernarda Bogedaina,17.064435500000002,51.084649299999995
Borowska,17.03507234337238,51.08338420393156
Nyska,17.053554658176818,51.08306305343932
Anioła Ślązaka,16.9760917,51.07880999999999
Marcina Bukowskiego,16.976145350000003,51.078833
Jana Ostroroga,16.97531865,51.07748135
Jana Stanki,16.9730621,51.077266300000005
Zofii Nałkowskiej,16.9709519,51.07732045
Ludwika Solskiego,16.96836145,51.0816358
Leona Petrażyckiego,16.970309690669158,51.08118846094016
Tadeusza Mikulskiego,16.971710155466386,51.08059311863366
Aleja Piastów,16.978258762560493,51.07673080867193
Stanisława Pękalskiego,16.969560546186162,51.07880829179644
Stanisława Rosponda,16.96979418716935,51.08081754009643
Jordanowska,16.96989353009265,51.08305405079335
Fryderyka Skarbka,16.965442099999997,51.07919445000001
Błogosławionego Wincentego Kadłubka,16.969275799655257,51.076333550077
Grabiszyńska,16.977378254418532,51.091323828140226
Aleksandra Ostrowskiego,16.978781894485778,51.094443190620396
aleja Generała Józefa Hallera,16.97814449940376,51.09274399698109
Plac Srebrny,16.995792700000003,51.0982742
Stalowa,17.0011832,51.09956215
Icchaka Lejba Pereca,17.0085257,51.10117235
Sądowa,17.02217805,51.10446845
Plac Legionów,17.02206289577249,51.10436487054615
Marszałka Józefa Piłsudskiego,17.021948549999998,51.1044981
Zdrowa,17.011892722631785,51.10214662721899
Klecińska,16.97987657801475,51.094760637832714
Szwajcarska,16.970748899999997,51.10555805
Francuska,16.970538058716148,51.10551201978625
Estakada Gądowianka,16.9708332456597,51.10564607079575
Odkrywców,16.985953816087907,51.09140308785094
Ojca Beyzyma,16.99296544724603,51.09038035121405
Mielecka,17.00123590660435,51.089640996292616
Chabrowa,16.992059952898725,51.09064350260461
aleja Pracy,16.98609367172664,51.09171813967652
Petuniowa,16.97229455,51.095559800000004
Krzemieniecka,16.958794977209244,51.09626159109778
Pusta,16.959685634764764,51.096189090372214
Bliźniacza,16.95744284955622,51.09641820527157
Trawowa,16.9487131,51.09736985
Wyścigowa,17.00095685,51.0630317
aleja Karkonoska,17.001249160687042,51.06329206205467
Powstańców Śląskich,17.012447872651048,51.086503481354214
